Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;06 Cantabria;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;06 Cantabria;Hombres;Centro Público;No consta;0
Total Nacional;06 Cantabria;Hombres;Centro Privado;Total;738
Total Nacional;06 Cantabria;Hombres;Centro Privado;Usuario experto;156
Total Nacional;06 Cantabria;Hombres;Centro Privado;Usuario de nivel avanzado;456
Total Nacional;06 Cantabria;Hombres;Centro Privado;Usuario de nivel básico;107
Total Nacional;06 Cantabria;Hombres;Centro Privado;No usuario de las TIC;10
Total Nacional;06 Cantabria;Hombres;Centro Privado;No consta;10
Total Nacional;06 Cantabria;Mujeres;Total;Total;1.917
Total Nacional;06 Cantabria;Mujeres;Total;Usuario experto;135
Total Nacional;06 Cantabria;Mujeres;Total;Usuario de nivel avanzado;1.276
Total Nacional;06 Cantabria;Mujeres;Total;Usuario de nivel básico;506
Total Nacional;06 Cantabria;Mujeres;Total;No usuario de las TIC;0
Total Nacional;06 Cantabria;Mujeres;Total;No consta;0
Total Nacional;06 Cantabria;Mujeres;Centro Público;Total;1.195
Total Nacional;06 Cantabria;Mujeres;Centro Público;Usuario experto;87
Total Nacional;06 Cantabria;Mujeres;Centro Público;Usuario de nivel avanzado;805
Total Nacional;06 Cantabria;Mujeres;Centro Público;Usuario de nivel básico;304
